payload,attack,category,weight,description,tags
"reverse shell","CRÍTICO","CRÍTICO","10","Reverse shell detectado","shell,backdoor,crítico"
"shell\.php","CRÍTICO","CRÍTICO","10","Arquivo shell malicioso","shell,backdoor,crítico"
"backdoor","CRÍTICO","CRÍTICO","10","Backdoor detectado","backdoor,malware,crítico"
"trojan","CRÍTICO","CRÍTICO","10","Trojan detectado","trojan,malware,crítico"
"virus","CRÍTICO","CRÍTICO","10","Vírus detectado","virus,malware,crítico"
"root shell","CRÍTICO","CRÍTICO","10","Shell com privilégios root","shell,privilege,crítico"
"privilege escalation","CRÍTICO","CRÍTICO","10","Elevação de privilégios","privilege,escalation,crítico"
"data exfiltration","CRÍTICO","CRÍTICO","10","Exfiltração de dados","data,exfiltration,crítico"
"malicioso.*shell","CRÍTICO","CRÍTICO","10","Shell malicioso","shell,malicioso,crítico"
"Comando injetado","CRÍTICO","CRÍTICO","10","Comando injetado","injection,command,crítico"
"cat /flag","CRÍTICO","CRÍTICO","10","Tentativa de ler flag","flag,read,crítico"
"whoami","CRÍTICO","CRÍTICO","10","Comando whoami","enumeration,user,crítico"
"ls;.*cat","CRÍTICO","CRÍTICO","10","Comandos concatenados","command,chaining,crítico"
"rm -rf","CRÍTICO","CRÍTICO","10","Comando destrutivo","destruction,delete,crítico"
"wget.*http://","CRÍTICO","CRÍTICO","10","Download remoto","download,remote,crítico"
"curl.*http://","CRÍTICO","CRÍTICO","10","Download remoto","download,remote,crítico"
"SQL Injection","ALTO","ALTO","7","Injeção SQL","sql,injection,web"
"XSS","ALTO","ALTO","7","Cross-Site Scripting","xss,web,injection"
"LFI","ALTO","ALTO","7","Local File Inclusion","lfi,file,inclusion"
"RFI","ALTO","ALTO","7","Remote File Inclusion","rfi,file,inclusion"
"Command Injection","ALTO","ALTO","7","Injeção de comandos","command,injection,web"
"Webshell Upload","ALTO","ALTO","7","Upload de webshell","webshell,upload,web"
"Força bruta","ALTO","ALTO","7","Tentativa de força bruta","brute,force,auth"
"<script","ALTO","ALTO","7","Tag script maliciosa","script,xss,web"
"union.*select","ALTO","ALTO","7","SQL Union injection","sql,union,injection"
"or.*1=1","ALTO","ALTO","7","SQL Boolean injection","sql,boolean,injection"
"../../etc/passwd","ALTO","ALTO","7","Path traversal","path,traversal,lfi"
"nikto","ALTO","ALTO","7","Scanner de vulnerabilidades","scanner,web,automated"
"sqlmap","ALTO","ALTO","7","Scanner SQL injection","scanner,sql,automated"
"nmap","ALTO","ALTO","7","Scanner de portas","scanner,network,automated"
"dirb","ALTO","ALTO","7","Scanner de diretórios","scanner,web,automated"
"gobuster","ALTO","ALTO","7","Scanner de diretórios","scanner,web,automated"
"wpscan","ALTO","ALTO","7","Scanner WordPress","scanner,wordpress,automated"
"/admin/","ALTO","ALTO","7","Acesso a admin","admin,sensitive,web"
"/wp-admin","ALTO","ALTO","7","Acesso WordPress admin","wordpress,admin,web"
"/phpmyadmin","ALTO","ALTO","7","Acesso phpMyAdmin","phpmyadmin,database,web"
"/\.env","ALTO","ALTO","7","Arquivo de configuração","config,env,web"
"/\.git","ALTO","ALTO","7","Repositório Git","git,version,web"
"/\.htaccess","ALTO","ALTO","7","Arquivo htaccess","htaccess,config,web"
"/server-status","ALTO","ALTO","7","Status do servidor","status,server,web"
"/wp-login\.php","ALTO","ALTO","7","Login WordPress","wordpress,login,web"
"/api/upload","ALTO","ALTO","7","API de upload","api,upload,web"
"Erro 403","ALTO","ALTO","7","Acesso negado","error,403,web"
"Erro 404","MÉDIO","MÉDIO","4","Página não encontrada","error,404,web"
"Erro 500","ALTO","ALTO","7","Erro interno do servidor","error,500,web"
"Invalid user","ALTO","ALTO","7","Usuário inválido SSH","ssh,user,invalid"
"Failed password","ALTO","ALTO","7","Senha falhou SSH","ssh,password,failed"
"Accepted password","MÉDIO","MÉDIO","4","Senha aceita SSH","ssh,password,accepted"
"session opened","MÉDIO","MÉDIO","4","Sessão SSH aberta","ssh,session,opened"
